"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","147","testGetAllBooksReturns200AndListOfBooks()","","Thu May 22 02:47:54 UTC 2025","passed","Thu May 22 02:47:54 UTC 2025","","com.example.demo_test_task.fakerestapitests.BookTests","com.example.demo_test_task.fakerestapitests.BookTests","testGetAllBooksReturns200AndListOfBooks"
"","133","testCreateAuthorWithValidDataReturns200()","","Thu May 22 02:47:54 UTC 2025","passed","Thu May 22 02:47:54 UTC 2025","","com.example.demo_test_task.fakerestapitests.AuthorTests","com.example.demo_test_task.fakerestapitests.AuthorTests","testCreateAuthorWithValidDataReturns200"
"","164","testCreateBookWithValidDataReturns200()","","Thu May 22 02:47:55 UTC 2025","passed","Thu May 22 02:47:55 UTC 2025","","com.example.demo_test_task.fakerestapitests.BookTests","com.example.demo_test_task.fakerestapitests.BookTests","testCreateBookWithValidDataReturns200"
"","1047","contextLoads()","","Thu May 22 02:47:50 UTC 2025","passed","Thu May 22 02:47:51 UTC 2025","","com.example.demo_test_task.DemoTestTaskApplicationTests","com.example.demo_test_task.DemoTestTaskApplicationTests","contextLoads"
"","131","testCreateBookWithInvalidDataReturns400()","","Thu May 22 02:47:55 UTC 2025","passed","Thu May 22 02:47:55 UTC 2025","","com.example.demo_test_task.fakerestapitests.BookTests","com.example.demo_test_task.fakerestapitests.BookTests","testCreateBookWithInvalidDataReturns400"
"","151","testGetAllAuthorsReturns200AndListOfAuthors()","","Thu May 22 02:47:54 UTC 2025","passed","Thu May 22 02:47:54 UTC 2025","","com.example.demo_test_task.fakerestapitests.AuthorTests","com.example.demo_test_task.fakerestapitests.AuthorTests","testGetAllAuthorsReturns200AndListOfAuthors"
"","393","testGetAuthorByIdReturnsCorrectAuthor()","","Thu May 22 02:47:53 UTC 2025","passed","Thu May 22 02:47:54 UTC 2025","","com.example.demo_test_task.fakerestapitests.AuthorTests","com.example.demo_test_task.fakerestapitests.AuthorTests","testGetAuthorByIdReturnsCorrectAuthor"
"","142","testGetAuthorByIdNotFoundReturns404()","","Thu May 22 02:47:53 UTC 2025","passed","Thu May 22 02:47:53 UTC 2025","","com.example.demo_test_task.fakerestapitests.AuthorTests","com.example.demo_test_task.fakerestapitests.AuthorTests","testGetAuthorByIdNotFoundReturns404"
"","126","testDeleteExistingBookReturns200()","","Thu May 22 02:47:54 UTC 2025","passed","Thu May 22 02:47:54 UTC 2025","","com.example.demo_test_task.fakerestapitests.BookTests","com.example.demo_test_task.fakerestapitests.BookTests","testDeleteExistingBookReturns200"
"","126","testDeleteExistingAuthorReturns200()","","Thu May 22 02:47:54 UTC 2025","passed","Thu May 22 02:47:54 UTC 2025","","com.example.demo_test_task.fakerestapitests.AuthorTests","com.example.demo_test_task.fakerestapitests.AuthorTests","testDeleteExistingAuthorReturns200"
"","291","testGetBookByIdReturnsCorrectBook()","","Thu May 22 02:47:55 UTC 2025","failed","Thu May 22 02:47:55 UTC 2025","","com.example.demo_test_task.fakerestapitests.BookTests","com.example.demo_test_task.fakerestapitests.BookTests","testGetBookByIdReturnsCorrectBook"
"","173","testUpdateBookWithValidDataReturns200()","","Thu May 22 02:47:54 UTC 2025","passed","Thu May 22 02:47:55 UTC 2025","","com.example.demo_test_task.fakerestapitests.BookTests","com.example.demo_test_task.fakerestapitests.BookTests","testUpdateBookWithValidDataReturns200"
"","137","testGetBookByIdNotFoundReturns404()","","Thu May 22 02:47:54 UTC 2025","passed","Thu May 22 02:47:54 UTC 2025","","com.example.demo_test_task.fakerestapitests.BookTests","com.example.demo_test_task.fakerestapitests.BookTests","testGetBookByIdNotFoundReturns404"
"","1202","testUpdateAuthorWithValidDataReturns200()","","Thu May 22 02:47:52 UTC 2025","passed","Thu May 22 02:47:53 UTC 2025","","com.example.demo_test_task.fakerestapitests.AuthorTests","com.example.demo_test_task.fakerestapitests.AuthorTests","testUpdateAuthorWithValidDataReturns200"
